k=10,k=15,k=20
0.008426966292134831,0.0056179775280898875,0.0056179775280898875
0.008379888268156424,0.0,0.01675977653631285
0.005555555555555556,0.0,0.030555555555555558
0.0,0.0055248618784530384,0.013812154696132596
0.005494505494505495,0.01098901098901099,0.005494505494505495
0.00819672131147541,0.02459016393442623,0.01366120218579235
0.005434782608695652,0.0,0.005434782608695652
0.0,0.0,0.013513513513513514
0.0,0.010752688172043012,0.010752688172043012
0.01871657754010695,0.0,0.0
0.0,0.007978723404255319,0.010638297872340425
0.005291005291005291,0.0,0.0
0.005263157894736842,0.0,0.005263157894736842
0.0,0.0,0.013089005235602094
0.0,0.010416666666666666,0.0
0.0,0.025906735751295335,0.0
